###################################################################################
##Level 1##                                                                       #
##Format: TYPE, POS_X, POS_Y,POS_Z, NORMAL_X, NORMAL_Y, SCALE_X, SCALE_Y, SCALE_Z #
##LEVEL LAYOUT##                                                                  #
##TYPE ,POSX,POSY,POSZ ,NORX,NORY,SCLX,SCLY,SCLZ                                  #
###################################################################################
#BORDER WALLS#
GO_WALL, 93.0, 68.5.0, 0.00, 1, 0, 412.00, 7.5, 10.0
GO_WALL, -115.6, -77.8, 0.00, 0, 1, 300.00, 7.5, 10.0
GO_WALL, 93.0, -224.0, 0.00, 1, 0, 412.00, 7.5, 10.0
GO_WALL, 300.0, -77.8, 0.00, 0, 1, 300.00, 7.5, 10.0
###################################################################################
#INTERIOR WALLS#
#ZONE1#
GO_WALL,-62.0, 20.0, 0.00, 1, 0, 100.00, 7.5, 10.0
GO_WALL, 30.0, 15.0, 0.00, 0, 1, 100.00, 7.5, 10.0
GO_WALL, -16.2, -38.8, 0.00, 1, 0, 100.00, 7.5, 10.0
GO_WALL, -25.0, -82.50, 0.00, 0, 1, 80.00, 7.5, 10.0
GO_WALL, -70.0, -118.50, 0.00, 0, 1, 100.00, 7.5, 10.0
GO_WALL, 12.5, -192.0, 0.00, 0, 1, 65.00, 7.5, 10.0
#ZONE2#
GO_WALL, 55.0, -118.0, 0.00, 1, 0, 65.00, 7.5, 10.0
GO_WALL, 162.5, -155.0, 0.00, 1, 0, 150.00, 7.5, 10.0
GO_WALL, 120.0, -179.0, 0.00, 0, 1, 40.00, 7.5, 10.0
GO_WALL, 150.0, -200.0, 0.00, 0, 1, 40.00, 7.5, 10.0
GO_WALL, 180.0, -179.0, 0.00, 0, 1, 40.00, 7.5, 10.0
GO_WALL, 210.0, -200.0, 0.00, 0, 1, 40.00, 7.5, 10.0
#ZONE3#
GO_WALL, 110.0, -24.0, 0.00, 1, 0, 65.00, 7.5, 10.0
GO_WALL, 138.5, -70.0, 0.00, 0, 1, 85.00, 7.5, 10.0
GO_WALL, 167.0, -108.5, 0.00, 1, 0, 50.00, 7.5, 10.0
GO_WALL, 253.0, -8.0, 0.00, 0, 1, 150.00, 7.5, 10.0
###################################################################################
#POWERUPS#
#GO_POWERUP_FREEZE,-20.00,-20.00,0.00,1.00,0.00,10.0, 10.0, 10.0
GO_POWERUP_SPEED, 12.5, -142.0, 0.00, 1.00, 0.00, 10.0, 10.0, 10.0
GO_POWERUP_HEALTH, 10.0, -20.0, 0.0, 1.00, 0.00, 10.0, 10.0, 10.0
GO_POWERUP_HEALTH, -32.5, -193.0, 0.0, 1.00, 0.00, 10.0, 10.0, 10.0
GO_POWERUP_HEALTH, 265.0, -195.0, 0.0, 1.00, 0.00, 10.0, 10.0, 10.0
GO_POWERUP_HEALTH, 60.0, 40.0, 0.0, 1.00, 0.00, 10.0, 10.0, 10.0
###################################################################################
#CHECKPOINTS#
GO_CHECKPOINT, -50.0, 45.0, 10.0, 2.00, 0.00, 7.0, 7.0, 7.0
GO_CHECKPOINT, -10.0, -180.0, 10.0, 2.00, 0.00, 7.0, 7.0, 7.0
GO_CHECKPOINT, 100.0, -190.0, 10.0, 2.00, 0.00, 7.0, 7.0, 7.0
GO_CHECKPOINT, 55.0, -100.0, 10.0, 2.00, 0.00, 7.0, 7.0, 7.0
###################################################################################
#ENDPOINT#
GO_ENDPOINT, 274.0, 40.0, 0.0, 1.00, 0.00, 7.0, 7.0, 7.0
