##Level 4 Layout##
##Format: 
#TYPE, 		POS_X, POS_Y,	POS_Z, NORM_X, NORM_Y, SCALE_X, SCALE_Y, SCALE_Z
#############Small Segment## #Ratio of scale to pos 2:1
GO_WALL,	65.00,	-50.0,	0.00,	1.00,	0.00,	170.00,	5.0,	12.0
#spawn
GO_WALL,	-12.5,	-35.0,	0.00,	1.00,	0.00,	15.00,	25.0,	12.0
GO_WALL,	15.00,	-20.0,	0.00,	1.00,	0.00,	70.00,	5.0,	12.0
GO_WALL,	47.50,	22.50,	0.00,	1.00,	0.00,	5.00,	80.0,	12.0
GO_WALL,	87.50,	60.0,	0.00,	1.00,	0.00,	75.00,	5.0,	12.0
GO_WALL,	152.50,	5.00,	0.00,	1.00,	0.00,	5.00,	115.0,	12.0
#block
GO_WALL,	100.00,	15.0,	0.00,	1.00,	0.00,	60.00,	12.0,	12.0
##########################################################################################
#TYPE, 		POS_X, POS_Y,	POS_Z, NORM_X, NORM_Y, SCALE_X, SCALE_Y, SCALE_Z
#4 Walls Box
#Bottom
GO_WALL,	-200.0,	-50.0,	0.00,	1.00,	0.00,	300.00,	5.0,	12.0
#Left
GO_WALL,	-347.5,	177.5,	0.00,	1.00,	0.00,	5.00,	450.0,	12.0
#Right
GO_WALL,	-52.5,	177.5,	0.00,	1.00,	0.00,	5.00,	450.0,	12.0
#Top
GO_WALL,	-200.0,	405.0,	0.00,	1.00,	0.00,	300.00,	5.0,	12.0
##Big Segment(BOTTOM)
GO_WALL,	-305.0,	0.00,	0.00,	1.00,	0.00,	80.00,	5.0,	12.0
GO_WALL,	-225.0,	-22.5,	0.00,	1.00,	0.00,	5.00,	50.0,	12.0
GO_WALL,	-180.0,	35.0,	0.00,	1.00,	0.00,	5.00,	75.0,	12.0
#Bottom Right
GO_WALL,	-115.0,	10.0,	0.00,	1.00,	0.00,	50.0,	30.0,	12.0
GO_WALL,	-87.5,	22.5,	0.00,	1.00,	0.00,	5.0,	100.0,	12.0
#Separating wall
GO_WALL,	-215.0,	75.0,	0.00,	1.00,	0.00,	260.00,	5.0,	12.0
##Big Segment(MIDDLE)
GO_WALL,	-305.0,	150.00,	0.00,	1.00,	0.00,	80.00,	15.0,	12.0
GO_WALL,	-200.0,	150.00,	0.00,	1.00,	0.00,	90.00,	15.0,	12.0
GO_WALL,	-95.0,	150.00,	0.00,	1.00,	0.00,	80.00,	15.0,	12.0
##Big Segment(TOP)
GO_WALL,	-157.5,	257.50,	0.00,	1.00,	0.00,	5.00,	200.0,	12.0
GO_WALL,	-105.0,	300.00,	0.00,	1.00,	0.00,	100.00,	5.0,	12.0
##########################################################################################
##Misc
#TYPE, 		POS_X, POS_Y,	POS_Z, NORM_X, NORM_Y, SCALE_X, SCALE_Y, SCALE_Z
GO_BOX,			-120.0,	50.0,	0.00,	1.0,	0.0,	7.5,	7.5,	7.5
GO_LASER_MACHINE,	-335.00,	260.00,	0.00,	1.00,	0.00,	10.00,	10.00,	10.00
GO_CHECKPOINT, 		-70.0, 30.0, 10.0, 2.00, 0.00, 7.0, 7.0, 7.0
GO_ENDPOINT, 		-100.0 ,	345.0 , 	0.0 , 	1.0, 	0.0 , 	10.0, 	10.0, 	10.0
